DRAFT_YEAR,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,POSITION,full_name,merge_key
2012,Beal,Bradley,G,Bradley Beal,Bradley Beal_2012
1969,Beard,Butch,G,Butch Beard,Butch Beard_1969
1949,Beard,Ralph,G,Ralph Beard,Ralph Beard_1949
2003,Beasley,Jerome,F,Jerome Beasley,Jerome Beasley_2003
2016,Beasley,Malik,G,Malik Beasley,Malik Beasley_2016
2008,Beasley,Michael,F,Michael Beasley,Michael Beasley_2008
1962,Beaty,Zelmo,C,Zelmo Beaty,Zelmo Beaty_1962
2009,Beaubois,Rodrigue,G,Rodrigue Beaubois,Rodrigue Beaubois_2009
2022,Beauchamp,MarJon,F,MarJon Beauchamp,MarJon Beauchamp_2022
1967,Beck,Byron,C,Byron Beck,Byron Beck_1967
0,Beck,Corey,G,Corey Beck,Corey Beck_0
1953,Beck,Ernie,G,Ernie Beck,Ernie Beck_1953
0,Becker,Moe,,Moe Becker,Moe Becker_0
1986,Bedford,William,C,William Bedford,William Bedford_1986
0,Bediako,Charles,C,Charles Bediako,Charles Bediako_0
0,Beenders,Hank,C,Hank Beenders,Hank Beenders_0
1973,Behagen,Ron,F,Ron Behagen,Ron Behagen_1973
1951,Behnke,Elmer,C,Elmer Behnke,Elmer Behnke_1951
2007,Belinelli,Marco,G,Marco Belinelli,Marco Belinelli_2007
0,Bell,Charlie,G,Charlie Bell,Charlie Bell_0
1973,Bell,Dennis,F,Dennis Bell,Dennis Bell_1973
2017,Bell,Jordan,F,Jordan Bell,Jordan Bell_2017
0,Bell,Raja,G,Raja Bell,Raja Bell_0
2003,Bell,Troy,G,Troy Bell,Troy Bell_2003
0,Bell,William,G,William Bell,William Bell_0
1961,Bellamy,Walt,C,Walt Bellamy,Walt Bellamy_1961
2016,Bembry,DeAndre',G-F,DeAndre' Bembry,DeAndre' Bembry_2016
1953,Bemoras,Irv,F,Irv Bemoras,Irv Bemoras_1953
1974,Benbow,Leon,G,Leon Benbow,Leon Benbow_1974
2016,Bender,Dragan,F,Dragan Bender,Dragan Bender_2016
1999,Bender,Jonathan,F,Jonathan Bender,Jonathan Bender_1999
0,Benimon,Jerrelle,,Jerrelle Benimon,Jerrelle Benimon_0
1985,Benjamin,Benoit,C,Benoit Benjamin,Benoit Benjamin_1985
1998,Benjamin,Corey,G,Corey Benjamin,Corey Benjamin_1998
2013,Bennett,Anthony,F,Anthony Bennett,Anthony Bennett_2013
1992,Bennett,Elmer,G,Elmer Bennett,Elmer Bennett_1992
1995,Bennett,Mario,C-F,Mario Bennett,Mario Bennett_1995
0,Bennett,Mel,F,Mel Bennett,Mel Bennett_0
1992,Bennett,Tony,G,Tony Bennett,Tony Bennett_1992
1988,Bennett,Winston,G,Winston Bennett,Winston Bennett_1988
0,Benoit,David,F,David Benoit,David Benoit_0
2011,Benson,Keith,F-C,Keith Benson,Keith Benson_2011
1977,Benson,Kent,C,Kent Benson,Kent Benson_1977
2016,Bentil,Ben,F,Ben Bentil,Ben Bentil_2016
1948,Berce,Gene,G,Gene Berce,Gene Berce_1948
1956,Bergen,Gary,C,Gary Bergen,Gary Bergen_1956
1988,Berry,Ricky,F,Ricky Berry,Ricky Berry_1988
1986,Berry,Walter,F,Walter Berry,Walter Berry_1986
0,Bertans,Dairis,G,Dairis Bertans,Dairis Bertans_0
2011,Bertans,Davis,F,Davis Bertans,Davis Bertans_2011
0,Beshore,Del,G,Del Beshore,Del Beshore_0
1995,Best,Travis,G,Travis Best,Travis Best_1995
2009,Beverley,Patrick,G,Patrick Beverley,Patrick Beverley_2009
2020,Bey,Saddiq,G-F,Saddiq Bey,Saddiq Bey_2020
2020,Bey,Tyler,F,Tyler Bey,Tyler Bey_2020
0,Bhullar,Sim,C,Sim Bhullar,Sim Bhullar_0
1954,Bianchi,Al,G,Al Bianchi,Al Bianchi_1954
1947,Biasatti,Hank,G,Hank Biasatti,Hank Biasatti_1947
1972,Bibby,Henry,G,Henry Bibby,Henry Bibby_1972
1998,Bibby,Mike,G,Mike Bibby,Mike Bibby_1998
1968,Biedenbach,Ed,G,Ed Biedenbach,Ed Biedenbach_1968
2004,Biedrins,Andris,C,Andris Biedrins,Andris Biedrins_2004
1954,Bielke,Don,C,Don Bielke,Don Bielke_1954
1975,Bigelow,Bob,F,Bob Bigelow,Bob Bigelow_1975
1997,Billups,Chauncey,G,Chauncey Billups,Chauncey Billups_1997
1966,Bing,Dave,G,Dave Bing,Dave Bing_1966
1984,Binion,Joe,F,Joe Binion,Joe Binion_1984
0,Birch,Khem,C,Khem Birch,Khem Birch_0
2017,Bird,Jabari,G,Jabari Bird,Jabari Bird_2017
1956,Bird,Jerry,F,Jerry Bird,Jerry Bird_1956
1978,Bird,Larry,F,Larry Bird,Larry Bird_1978
1977,Birdsong,Otis,G,Otis Birdsong,Otis Birdsong_1977
0,Bishop,Gale,F,Gale Bishop,Gale Bishop_0
2019,Bitadze,Goga,C-F,Goga Bitadze,Goga Bitadze_2019
0,Bitim,Onuralp,F,Onuralp Bitim,Onuralp Bitim_0
2011,Biyombo,Bismack,C,Bismack Biyombo,Bismack Biyombo_2011
2010,Bjelica,Nemanja,F,Nemanja Bjelica,Nemanja Bjelica_2010
1985,Blab,Uwe,C,Uwe Blab,Uwe Blab_1985
2023,Black,Anthony,G,Anthony Black,Anthony Black_2023
0,Black,Charlie,F,Charlie Black,Charlie Black_0
0,Black,Leaky,F,Leaky Black,Leaky Black_0
0,Black,Norman,G,Norman Black,Norman Black_0
0,Black,Tarik,F-C,Tarik Black,Tarik Black_0
